1.996358e+39	1:2,2:19,3:12,4:22,6:8
1.307126e+38	1:8,2:18,3:11,4:18,6:8
6.451153e+38	1:2,2:23,3:11,4:18,6:9
6.705773e+35	1:5,2:19,3:15,4:14,6:10
8.240051e+38	1:2,2:21,3:15,4:17,6:8
1.310301e+39	1:4,2:23,3:10,4:18,6:8
1.020888e+39	1:2,2:19,3:13,4:20,6:9
3.158544e+38	1:6,2:20,3:11,4:17,6:9
7.805501e+38	1:1,2:22,3:14,4:18,6:8
2.704687e+38	1:1,2:24,3:10,4:19,6:9
1.929828e+37	1:5,2:22,3:11,4:15,6:10
2.913721e+38	1:2,2:25,3:12,4:16,6:8
1.064313e+39	1:2,2:21,3:10,4:21,6:9
6.501456e+38	1:2,2:19,3:9,4:25,6:8
1.053617e+39	1:4,2:20,3:14,4:17,6:8
8.566805e+37	2:24,3:14,4:17,6:8
2.692122e+39	1:3,2:20,3:10,4:22,6:8
9.578952e+37	1:4,2:19,3:6,4:25,6:9
9.300877e+38	1:1,2:19,3:12,4:23,6:8
2.377976e+38	2:19,3:15,4:21,6:8
1.618006e+39	1:3,2:23,3:11,4:18,6:8
3.188356e+39	1:4,2:20,3:11,4:20,6:8
1.996358e+39	1:2,2:19,3:12,4:22,6:8
1.744759e+38	1:5,2:23,3:10,4:16,6:9
7.426300e+37	1:2,2:20,3:6,4:27,6:8
4.561667e+37	2:26,3:8,4:21,6:8
4.312910e+37	2:22,3:11,4:20,6:10
2.168063e+39	1:3,2:22,3:9,4:21,6:8
3.519007e+37	1:6,2:14,3:14,4:21,6:8
1.048045e+39	1:3,2:22,3:10,4:19,6:9
1.373963e+39	1:2,2:21,3:9,4:23,6:8
6.200861e+37	1:7,2:22,3:7,4:18,6:9
1.135771e+38	1:4,2:17,3:8,4:25,6:9
2.231477e+39	1:4,2:19,3:13,4:19,6:8
