Sub-branch INTERRUPTED (thread 44, pair1 2 orient1 0 pair2 1 orient2 0): 3300330726 nodes, 589400 C3-valid, 0 solutions, 306s elapsed
Sub-branch INTERRUPTED (thread 14, pair1 1 orient1 1 pair2 15 orient2 0): 3300330739 nodes, 0 C3-valid, 0 solutions, 308s elapsed
Sub-branch INTERRUPTED (thread 7, pair1 1 orient1 1 pair2 11 orient2 1): 3300330752 nodes, 0 C3-valid, 0 solutions, 308s elapsed
Sub-branch INTERRUPTED (thread 4, pair1 1 orient1 1 pair2 10 orient2 0): 3300330752 nodes, 0 C3-valid, 0 solutions, 308s elapsed
Sub-branch INTERRUPTED (thread 54, pair1 2 orient1 0 pair2 8 orient2 0): 3300330715 nodes, 2389552 C3-valid, 0 solutions, 309s elapsed
Sub-branch INTERRUPTED (thread 16, pair1 1 orient1 1 pair2 16 orient2 1): 3300330744 nodes, 5478408 C3-valid, 0 solutions, 309s elapsed
Sub-branch INTERRUPTED (thread 48, pair1 2 orient1 0 pair2 4 orient2 0): 3300330752 nodes, 1359880 C3-valid, 0 solutions, 309s elapsed
Sub-branch INTERRUPTED (thread 1, pair1 1 orient1 1 pair2 8 orient2 0): 3300330752 nodes, 2639920 C3-valid, 0 solutions, 309s elapsed
Sub-branch INTERRUPTED (thread 15, pair1 1 orient1 1 pair2 16 orient2 0): 3300330740 nodes, 3445298 C3-valid, 0 solutions, 309s elapsed
Sub-branch INTERRUPTED (thread 0, pair1 1 orient1 1 pair2 7 orient2 1): 3300330724 nodes, 2365492 C3-valid, 0 solutions, 310s elapsed
Sub-branch INTERRUPTED (thread 9, pair1 1 orient1 1 pair2 12 orient2 1): 3300330726 nodes, 0 C3-valid, 0 solutions, 310s elapsed
Sub-branch INTERRUPTED (thread 43, pair1 1 orient1 1 pair2 31 orient2 0): 3300330652 nodes, 262544 C3-valid, 0 solutions, 310s elapsed
Sub-branch INTERRUPTED (thread 6, pair1 1 orient1 1 pair2 11 orient2 0): 3300330724 nodes, 0 C3-valid, 0 solutions, 311s elapsed
Sub-branch INTERRUPTED (thread 33, pair1 1 orient1 1 pair2 25 orient2 1): 3300330753 nodes, 0 C3-valid, 0 solutions, 311s elapsed
Sub-branch INTERRUPTED (thread 24, pair1 1 orient1 1 pair2 20 orient2 1): 3300330721 nodes, 0 C3-valid, 0 solutions, 312s elapsed
Sub-branch INTERRUPTED (thread 11, pair1 1 orient1 1 pair2 13 orient2 1): 3300330729 nodes, 4048148 C3-valid, 0 solutions, 312s elapsed
Sub-branch INTERRUPTED (thread 25, pair1 1 orient1 1 pair2 21 orient2 0): 3300330722 nodes, 1901412 C3-valid, 0 solutions, 314s elapsed
Sub-branch INTERRUPTED (thread 28, pair1 1 orient1 1 pair2 23 orient2 0): 3300330722 nodes, 5102152 C3-valid, 0 solutions, 314s elapsed
Sub-branch INTERRUPTED (thread 8, pair1 1 orient1 1 pair2 12 orient2 0): 3300330736 nodes, 0 C3-valid, 0 solutions, 315s elapsed
Sub-branch INTERRUPTED (thread 10, pair1 1 orient1 1 pair2 13 orient2 0): 3300330742 nodes, 8297972 C3-valid, 0 solutions, 315s elapsed
Sub-branch INTERRUPTED (thread 63, pair1 2 orient1 0 pair2 13 orient2 1): 3300330724 nodes, 8295704 C3-valid, 0 solutions, 315s elapsed
Sub-branch INTERRUPTED (thread 60, pair1 2 orient1 0 pair2 12 orient2 0): 3300330688 nodes, 0 C3-valid, 0 solutions, 316s elapsed
