Time limit: 14400 seconds
Node limit: 10000000000000 (reproducible mode)
Build: Apr 12 2026 03:29:49
King Wen complement distance (x64): 776 (= 12.1250)
Difference distribution: 1:2 2:20 3:13 4:19 6:9 
Super-pairs: 20
Hash table: 4194304 slots (2^22) x 32 bytes = 128 MB per thread
Per-branch node limit: 178571428571 (10000000000000 total / 56 branches)
Total hash memory: 7168 MB (56 threads x 128 MB)
Branches: 56 remaining (56 total), Threads: 56
Time limit: 14400 seconds (4.0 hours)
CPU cores detected: 64

Starting enumeration...

  1099.6B nodes, 64886.5M sol, 2123878373 C3 (21870402 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 870s
  1112.3B nodes, 65580.5M sol, 2141476929 C3 (21934737 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 880s
  1125.0B nodes, 66282.8M sol, 2161150675 C3 (22012213 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 890s
  1137.6B nodes, 67070.6M sol, 2179150477 C3 (22090998 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 900s
  1150.3B nodes, 67804.2M sol, 2197565572 C3 (22130257 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 910s
  1162.8B nodes, 68518.3M sol, 2214349138 C3 (22169537 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 920s
  1175.4B nodes, 69257.0M sol, 2237892466 C3 (22348182 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 930s
  1188.0B nodes, 70031.7M sol, 2259430058 C3 (22466397 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 940s
  1200.5B nodes, 70747.9M sol, 2278428459 C3 (22508650 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 950s
  1213.1B nodes, 71406.8M sol, 2298949549 C3 (22588279 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 960s
  1225.6B nodes, 72051.9M sol, 2320019105 C3 (22701330 stored), 0/56 branches (0%), 0/56 threads, 1263M/s, 970s
